Elevation,Aspect,Slope,Type
2756,300,10,2
3185,330,9,1
3282,90,9,2
2695,325,17,2
2841,108,5,1
3198,313,13,1
3302,149,22,1
3285,84,13,2
3077,198,9,2
2917,176,16,1
3024,108,17,2
2970,7,24,2
3188,78,38,1
2982,266,19,2
3039,128,8,2
2929,42,6,2
3022,312,6,1
2975,117,7,2
2779,57,15,2
3046,61,2,2
2872,232,15,1
3107,34,7,1
3061,24,18,1
3168,122,10,1
3148,153,15,2
2987,311,14,1
2957,112,9,2
3214,286,14,1
2884,159,9,2
3154,257,14,1
3166,36,13,1
2699,180,0,2
3082,37,5,2
3239,300,8,2
2943,83,4,1
3024,117,14,2
2575,2,7,2
3036,264,7,2
2544,61,16,2
2924,30,4,2
2844,218,20,2
2818,26,10,2
2982,230,12,2
3063,129,26,2
3036,232,13,2
2926,153,7,2
3024,243,17,1
3230,116,18,1
2813,6,13,2
3071,137,11,1
3263,36,7,1
3187,276,2,1
3203,35,13,1
2896,72,5,2
3165,293,4,1
3249,160,21,2
3246,299,10,2
3114,288,2,2
3325,325,10,1
2788,50,11,2
2993,318,6,1
2531,46,27,2
3049,237,17,2
3047,354,20,1
3176,82,32,1
2812,50,11,2
2638,13,16,2
3112,304,5,1
3006,95,15,2
3268,97,6,1
3268,275,18,1
2577,78,11,2
3157,177,5,1
3136,74,11,1
3142,127,2,1
3272,354,11,1
3225,11,20,1
2945,199,11,1
3273,243,7,1
2912,41,5,2
2713,128,25,2
3158,71,9,1
3164,263,11,1
2802,348,6,2
2958,84,12,2
3241,126,15,2
3347,148,18,1
3250,101,11,2
3286,86,10,2
3309,324,13,1
2822,76,12,2
2773,63,7,2
2818,349,21,2
2959,80,14,2
2722,351,6,2
2937,197,15,2
2685,328,14,2
3021,311,9,2
2718,41,5,2
2920,220,20,2
3104,183,10,2
2916,12,23,2
2859,100,11,1
3047,39,18,2
2978,25,14,2
2794,297,14,2
3156,162,26,2
3036,2,15,2
3191,36,12,1
2659,70,6,2
3236,176,18,1
2665,343,9,2
2650,94,6,2
3130,296,22,1
3375,301,7,1
3205,111,8,1
2978,27,8,2
3175,291,4,1
2733,58,9,2
3127,288,7,1
2719,52,8,2
2928,101,18,1
3173,354,10,1
3105,118,7,1
3193,155,13,1
3373,178,7,1
2973,318,12,2
3338,60,22,1
2785,54,8,2
2936,249,16,2
3008,325,13,1
3024,178,20,2
2673,48,26,2
3221,340,20,1
3086,145,11,2
3201,254,3,1
2975,49,10,1
3103,103,11,2
3216,276,5,2
2975,54,10,2
2960,43,24,1
2913,343,11,2
3142,295,10,2
3262,359,14,2
2969,132,12,1
2846,276,23,2
2807,56,14,1
3346,252,10,1
3198,123,11,1
2868,102,11,2
2707,185,15,2
3057,36,15,1
3064,231,10,2
3276,299,21,1
2919,117,14,2
3025,104,11,2
3014,225,9,1
2904,98,25,1
2869,239,19,2
3300,96,15,1
3080,358,9,1
2665,117,12,2
2696,37,15,2
2843,327,21,2
3236,40,11,1
3070,320,4,1
3041,61,6,2
3401,109,21,1
3008,177,15,1
2975,87,16,1
3084,47,11,1
2934,108,10,2
3121,283,12,2
2768,198,4,2
3004,72,13,2
3119,139,15,1
3363,225,16,1
3327,328,14,1
3090,2,8,2
3017,359,24,2
2881,215,9,2
3194,168,13,2
3001,92,6,2
2921,69,21,2
2924,201,26,2
3411,359,10,1
2674,210,27,2
2946,356,20,1
2863,88,18,2
3091,220,11,2
2715,157,16,2
2647,11,1,2
2973,356,18,2
3001,255,7,2
3374,121,13,1
3226,289,17,1
3077,46,14,1
2718,110,15,2
2953,209,10,2
3191,58,20,2
2949,224,23,2
3037,128,8,2
2954,72,12,2
3232,63,10,1
3000,253,9,2
3057,88,16,2
2935,343,5,2
2942,224,24,2
3159,184,13,2
2974,26,13,2
3032,345,7,2
3315,351,17,1
3213,358,5,1
3184,256,2,2
2706,17,21,2
2939,68,13,2
2923,51,10,2
3214,352,13,1
2947,192,12,2
2985,148,8,2
2952,315,1,2
3025,194,15,2
3026,316,15,1
3036,57,8,1
3108,301,16,2
2967,90,26,1
2729,147,8,2
2557,43,11,2
3224,2,16,1
3103,49,9,2
3120,320,17,1
2911,18,10,1
2829,76,11,2
2772,276,46,2
2780,25,14,1
3268,304,7,2
3189,347,3,2
2537,52,9,2
2919,248,21,2
3255,254,8,1
3386,21,6,1
2920,173,16,2
2778,77,33,2
2985,0,9,2
2952,161,12,1
2825,64,20,2
3180,315,6,1
3030,96,12,1
3028,129,13,1
2900,315,9,1
3172,302,21,1
2978,227,8,2
3214,100,8,1
2968,187,13,2
3129,94,23,1
3065,68,11,1
2572,19,9,2
2812,79,19,2
3274,115,27,1
2673,4,10,2
2934,46,26,2
2551,95,13,2
3038,130,8,2
2987,80,18,2
3123,87,34,2
2894,44,18,2
3260,84,20,2
3560,102,28,1
3180,0,3,1
2868,105,13,2
3269,270,10,1
2988,262,16,2
3253,330,8,1
3066,22,5,2
3137,125,16,1
2681,149,20,2
3216,275,10,1
2876,27,1,2
2937,16,12,2
3247,283,11,2
2984,326,13,1
2935,58,24,2
3296,336,18,2
3039,115,4,2
3314,349,21,2
3413,184,12,1
2978,105,13,1
3261,116,18,2
3123,214,10,2
2727,209,16,2
2857,56,18,1
2673,300,7,2
2816,291,22,2
3018,166,18,2
3015,32,6,2
3017,177,4,2
3257,107,39,1
3174,98,10,2
3024,176,8,2
3155,261,6,2
3032,311,5,1
3212,117,10,1
3346,227,28,1
3012,44,18,2
3544,29,21,1
3203,75,11,1
2939,250,15,2
3008,315,8,2
3028,22,4,2
3088,313,16,2
3289,105,10,2
3033,16,15,2
2701,43,12,1
3177,5,18,1
2770,56,10,2
2872,61,32,2
3280,230,11,1
2761,187,15,2
3062,54,15,1
2866,49,14,2
2933,202,22,2
2810,58,19,2
3185,40,15,2
2874,200,24,2
2768,162,12,2
3135,351,23,1
2664,95,14,2
3013,8,14,2
2988,228,21,1
2694,339,20,2
3178,267,8,2
2821,74,4,2
3206,180,24,2
3027,218,8,2
3174,13,12,1
3200,300,17,2
3042,212,3,1
3484,79,22,1
2972,225,13,2
2912,123,8,2
3039,76,7,2
3265,200,9,1
3064,152,12,2
2962,348,12,2
2848,142,5,2
3018,28,18,1
2900,6,11,2
2996,68,10,1
3321,357,9,1
2953,84,14,2
3072,275,19,2
2937,290,7,2
2944,125,14,2
2951,139,14,2
3169,357,13,1
3164,63,27,1
3163,171,10,1
2709,63,17,2
3101,157,7,2
2947,294,16,1
2559,87,15,1
3072,3,17,2
3023,2,21,2
3210,228,12,1
3038,140,16,2
3230,309,23,1
2787,255,26,1
2785,105,7,2
3021,122,14,2
3153,76,9,1
3215,342,7,1
3257,165,5,1
3109,162,23,2
3034,353,13,1
2992,260,15,2
3209,10,7,1
3227,287,9,1
2712,99,5,2
2965,308,26,2
2791,45,18,2
2887,56,10,2
2895,330,18,1
2938,343,14,1
3310,216,8,1
2950,13,6,2
2552,115,10,2
3257,211,18,2
3131,174,23,2
2789,151,15,2
2942,256,13,2
3139,311,9,1
2936,333,15,1
3043,89,24,1
3227,94,11,2
3071,200,5,1
2904,214,20,1
3113,149,4,2
2904,98,18,2
2919,127,7,1
3025,182,7,2
3199,353,6,1
3428,135,14,1
3254,41,18,1
3217,199,17,1
3198,203,23,2
3253,315,9,1
2812,63,10,2
3132,58,6,1
3031,348,15,2
2884,101,1,2
3086,318,6,2
3008,117,2,1
2606,153,24,2
3250,67,10,1
3023,111,9,2
3100,69,11,1
2742,77,17,2
2952,30,14,2
3017,215,11,1
3179,291,7,2
2973,357,14,2
3030,251,25,2
2572,61,13,2
2935,80,4,1
3075,15,3,1
3066,127,9,2
3129,320,12,1
2442,27,6,2
3209,236,2,1
3006,137,17,2
3279,34,7,1
2625,18,33,2
3008,256,4,2
3309,317,16,1
3114,165,18,2
2781,315,20,1
3024,295,13,2
2938,59,17,2
2982,54,20,1
2958,323,11,1
2837,90,1,2
3263,338,19,2
3030,247,9,2
2899,161,16,2
2997,184,12,2
2866,45,11,2
3078,297,12,2
2996,323,10,2
3228,172,7,2
3287,262,20,2
2769,102,13,2
3283,88,15,1
3248,318,23,1
2573,122,4,1
3141,0,7,1
2901,130,8,2
2692,91,14,2
3260,345,8,2
3228,90,14,1
2860,147,10,2
3032,24,10,1
2698,79,9,2
3263,348,10,1
2761,357,18,2
3136,3,15,2
3085,270,5,2
3168,277,11,1
3150,92,5,1
3176,148,16,1
2807,323,20,1
3186,7,9,1
3212,188,2,1
3267,124,19,1
3081,326,14,1
2899,70,12,1
2745,339,14,1
2929,325,34,2
2984,193,22,2
3204,59,17,2
3204,48,12,2
2936,82,7,2
2822,79,5,1
2880,263,12,1
3184,224,20,1
3298,9,11,1
3140,78,10,1
2842,123,14,1
3005,83,11,2
2821,78,20,2
3152,37,10,1
3227,54,17,1
3288,50,4,2
3452,313,29,1
3104,82,16,1
3058,98,13,2
3042,353,4,2
2955,226,16,2
3516,120,24,1
2887,86,15,2
3019,154,19,2
3264,43,23,1
3164,191,10,2
3015,194,16,1
3161,194,12,1
2840,71,17,2
3000,293,7,2
3164,306,13,1
3042,36,6,2
3018,206,8,2
2760,326,2,2
2736,265,29,2
2895,132,7,1
3283,211,25,1
3011,13,11,2
3108,322,11,2
3027,202,7,2
3243,36,9,1
2551,136,16,2
2927,121,17,2
3022,22,13,1
3279,352,16,1
3304,353,9,1
2775,25,25,2
2572,101,10,2
2450,338,16,2
3146,61,20,1
2898,114,6,2
2829,59,20,2
2746,143,16,2
3193,98,8,1
3036,161,19,1
3191,59,11,2
2926,99,5,1
3297,293,9,1
3050,77,13,2
3136,8,13,1
2920,10,18,2
3160,345,7,2
3285,20,11,1
2522,325,4,2
2998,264,6,2
3098,195,12,2
2908,168,17,2
2866,312,19,2
2958,52,35,2
2646,99,18,2
2905,80,21,2
2991,44,16,2
2693,113,2,2
2910,300,14,2
2906,92,8,2
2952,240,9,2
3243,93,17,1
3204,168,13,2
2791,118,4,2
2813,37,9,2
3006,25,9,2
2975,68,11,2
3310,210,9,1
3013,94,19,1
2537,280,13,2
3273,62,18,1
2967,23,6,2
3289,133,9,2
2928,112,19,1
2793,349,5,2
3151,56,9,1
2985,118,14,2
2919,60,8,2
3192,78,8,2
3011,109,16,1
3173,350,18,2
2854,343,24,2
3054,87,17,2
2777,7,13,2
3051,55,23,1
3411,197,13,1
3226,41,20,1
3037,270,1,2
3125,330,11,2
2873,352,7,2
3073,68,10,1
2648,43,16,2
2890,127,19,2
2985,57,5,2
3220,12,18,2
2677,132,7,2
2916,227,12,2
2717,38,13,2
3142,109,12,1
3185,60,18,1
2845,227,32,2
3015,203,23,2
3182,119,27,1
3110,180,22,1
2946,36,8,2
3274,158,31,1
2710,2,18,1
3246,161,9,1
3016,195,11,2
2813,27,8,2
3080,45,5,2
3281,94,13,1
3024,19,14,2
2825,143,17,1
2877,20,15,2
3048,247,15,2
3024,256,12,2
3089,194,16,2
3232,131,10,2
2864,7,14,2
2717,242,5,2
2995,251,9,2
3013,349,1,2
2710,95,6,2
2683,332,9,2
3187,183,15,2
3310,69,7,1
3274,220,7,1
3223,126,15,1
2902,215,4,2
3208,281,4,1
2885,52,10,1
3106,40,12,1
2935,130,4,2
2899,6,9,1
3315,51,10,1
2709,75,7,2
2766,60,18,1
3037,90,1,2
3221,202,3,1
2673,42,19,2
3036,83,8,1
2737,305,19,2
3107,90,2,2
3085,147,12,1
2854,314,31,1
3039,50,8,2
3205,191,4,1
2778,59,10,2
3050,139,16,2
2861,10,18,2
3061,311,18,1
2901,43,12,2
3020,89,34,2
2902,98,5,2
2975,118,9,2
2881,343,13,2
2502,43,21,2
3095,131,26,1
3305,302,18,1
3281,19,11,1
3450,82,7,1
2540,81,11,2
3263,164,7,1
2702,56,17,2
3270,307,7,1
3427,82,18,1
3060,20,18,2
3044,288,7,2
2894,16,20,2
3254,326,10,1
3391,299,6,1
2983,81,24,1
3144,241,17,1
2981,321,9,2
2751,87,24,2
3298,116,18,1
3200,342,5,2
2886,211,35,2
2732,22,12,2
2752,174,17,2
3280,146,14,2
3058,324,4,1
2804,330,10,2
2791,288,22,2
3019,345,16,2
3214,277,17,1
3340,152,21,1
3094,70,35,1
2879,3,9,2
2718,60,10,2
3068,357,9,1
2644,339,3,2
3057,51,13,2
2767,74,11,2
3026,63,6,1
2803,135,8,2
3165,326,7,1
2913,94,12,2
2936,3,18,2
3156,285,8,1
3178,188,14,2
3004,29,16,1
2580,56,18,2
2909,121,8,2
2591,8,14,2
2964,356,14,2
3218,37,7,1
2759,237,20,2
2815,52,19,2
2852,59,11,2
2668,286,12,2
2929,124,17,2
3240,40,7,1
3337,289,10,1
2765,209,20,2
2762,39,6,2
3045,202,15,2
3334,273,9,1
3252,91,11,1
3198,175,10,1
2681,135,14,2
3387,161,9,1
3121,23,20,1
3180,2,5,2
2708,228,26,2
2614,237,11,2
2529,205,23,2
2739,318,22,2
3147,352,3,1
3151,145,22,2
3050,135,1,2
3027,130,8,1
3086,45,15,2
3364,21,8,1
2956,110,21,2
3179,41,10,1
3284,37,12,1
3168,55,23,1
2623,186,24,1
3193,115,19,1
3009,207,2,2
2982,167,10,2
2693,97,11,2
3221,103,25,1
3361,257,20,1
3175,277,12,1
2928,34,7,2
3259,34,24,2
2900,22,13,2
2919,23,8,2
3345,154,12,2
3176,342,26,1
3079,300,11,2
3163,238,22,2
3030,168,21,1
3256,325,20,1
3175,175,14,1
2548,133,26,2
3036,338,9,1
2901,8,19,2
3210,131,15,1
3122,171,10,2
3197,72,4,1
2732,315,4,1
3002,332,17,2
3265,90,7,1
2982,246,9,2
2633,82,7,2
3071,56,27,1
3273,238,16,1
2831,54,8,1
2982,136,22,2
3082,337,15,1
3000,115,10,2
2667,36,6,2
3013,0,3,2
3175,45,18,1
3225,100,16,1
3010,280,13,1
2905,259,17,2
2508,96,2,2
2683,82,3,2
3161,123,18,2
2976,345,3,1
2951,191,22,2
3181,100,21,1
3159,236,21,1
3229,48,12,1
2826,118,17,2
2749,73,9,2
3001,307,11,2
3002,72,5,2
2938,345,10,2
3290,221,23,1
3286,275,15,1
2955,9,10,2
3145,127,12,2
2921,322,20,2
3017,229,17,2
3220,33,11,1
3208,174,17,2
2875,302,9,2
3056,51,6,1
2731,86,28,2
3296,22,11,1
3008,7,21,1
2948,254,23,2
3015,318,6,2
3249,306,34,1
3031,309,9,2
2811,333,22,1
3221,330,27,1
2734,164,27,2
3261,259,8,1
2561,108,12,2
2813,53,5,2
2847,89,14,2
2812,156,3,2
2783,114,8,1
3357,196,16,1
3001,335,13,1
3307,48,13,2
3084,14,4,2
3340,281,21,2
2598,28,20,2
2962,33,11,2
2908,130,16,2
3417,195,8,1
3029,121,1,1
3017,5,15,2
3106,106,11,2
2819,160,8,2
3097,120,8,2
2951,336,14,2
2841,13,10,2
3331,90,9,2
2669,327,17,1
2888,358,24,2
3131,151,16,1
2710,61,27,2
3183,73,7,1
3185,126,6,1
2650,209,25,2
2978,21,21,2
3081,13,8,2
2657,90,9,2
3308,57,22,1
2747,109,19,1
2947,356,9,2
3148,261,16,1
3135,284,7,1
3106,133,17,2
2867,100,11,1
3055,149,6,1
2671,67,17,2
2772,8,12,2
3034,25,7,1
2625,27,13,2
3222,79,1,1
2647,46,15,2
2903,74,9,1
3131,76,22,1
3062,256,4,1
2762,76,6,2
3200,294,3,1
2715,353,12,2
2982,73,11,2
2881,175,13,2
3172,54,10,1
2474,35,8,2
2983,288,9,2
2658,72,18,2
3148,243,7,2
2724,55,22,2
2664,201,6,1
2666,356,13,2
3262,342,11,2
3238,164,11,1
3155,55,18,1
2551,59,7,2
3106,324,8,1
2955,315,1,2
2646,13,4,2
3115,59,11,1
3054,195,15,2
3047,175,20,2
3234,262,11,1
2940,336,14,2
2757,188,28,2
2760,23,5,2
2840,50,20,1
3176,0,10,1
3079,357,9,1
3241,328,8,1
2865,28,9,2
3005,41,10,2
2972,151,20,1
2867,23,25,2
2855,253,19,1
3293,294,16,1
3304,81,3,1
2914,27,9,1
3134,72,3,1
2869,292,9,2
3217,55,21,1
2586,136,15,2
2921,7,20,2
3000,146,11,1
3011,72,3,2
2978,289,14,2
2955,157,12,2
3014,0,8,1
2781,51,15,2
2755,80,24,2
3114,293,5,2
3079,16,4,2
2834,64,22,2
2864,96,27,2
2739,46,14,2
2805,10,10,2
3253,198,8,1
2818,225,31,2
2747,63,6,2
2887,18,10,1
2945,36,4,2
3049,27,25,2
3168,332,5,1
2498,304,16,2
2865,205,15,2
2942,332,4,2
2704,65,18,2
2942,351,15,2
3343,135,7,1
3127,157,12,2
2591,300,35,2
2858,338,10,2
2783,37,7,2
3309,282,10,1
3076,82,16,2
2871,66,5,2
2700,101,1,2
3052,74,17,2
2828,352,28,2
3251,135,19,1
3141,111,30,2
2663,41,14,1
2616,343,17,2
2611,340,29,2
2621,197,12,2
3170,356,18,1
2713,11,1,2
3156,159,7,1
3270,11,10,1
2281,356,19,2
2929,235,13,2
2826,143,10,2
2899,120,4,2
2860,210,4,2
3184,183,9,2
2712,15,16,2
2812,342,18,2
3142,85,13,2
3231,69,6,1
3175,276,14,2
3052,196,4,1
2750,96,15,2
2973,259,35,1
2891,122,7,2
3174,104,15,1
2296,327,23,2
3328,332,16,1
2969,0,5,1
3119,315,11,1
3015,194,6,2
3074,52,30,1
3195,16,8,1
2804,10,5,2
2923,58,13,1
2631,30,7,2
2984,8,5,2
2752,137,9,2
3037,171,12,2
2919,252,21,2
2828,62,17,1
2922,180,2,2
2903,303,16,2
2647,22,20,2
2990,121,35,2
3031,166,4,2
3198,230,15,2
2965,176,12,1
2942,98,7,2
3045,272,9,1
3267,343,9,1
3174,1,11,1
3015,111,18,2
2829,183,22,2
3164,225,1,1
3152,185,5,1
2616,108,18,2
2989,137,9,2
3119,109,17,2
3103,43,9,1
2767,115,34,2
3002,7,15,1
3027,86,10,2
2955,66,22,1
3092,325,14,1
3467,326,14,1
2753,83,20,2
3249,325,10,1
3155,68,5,2
3202,159,17,2
2741,16,31,2
3189,5,21,1
3016,87,12,1
3216,332,16,1
3294,57,18,1
2546,32,8,2
3039,88,5,2
2569,78,8,2
2544,319,5,2
3088,203,14,2
3077,311,5,2
2942,18,6,1
3054,10,17,2
3130,335,13,1
3018,32,19,2
3098,15,18,2
3164,331,12,1
2665,52,8,2
3009,16,25,1
3054,42,13,2
2724,349,4,2
2924,111,4,2
3011,106,6,2
3420,271,23,1
3218,57,7,1
2934,147,21,2
2923,118,4,2
3024,209,12,2
3004,4,12,2
3242,40,8,1
2746,37,2,2
3022,143,2,1
3307,309,14,1
2847,65,4,2
2646,62,24,2
3088,2,8,1
2942,105,14,2
3248,326,14,1
2841,93,26,1
2916,0,6,2
2962,68,19,2
2739,199,20,2
2758,155,12,2
2837,101,4,2
2887,45,15,2
3428,112,20,1
3250,5,10,1
3276,79,12,1
3078,281,4,1
3205,148,10,1
3077,104,14,1
2986,269,12,2
3227,270,4,1
2912,323,16,2
2827,57,8,2
2824,12,10,2
3071,45,4,1
3224,110,12,1
2927,186,19,2
2955,31,16,1
3053,163,5,1
3054,335,13,1
3260,343,26,1
3190,185,27,2
2897,296,6,2
2808,0,7,1
2843,29,20,2
3064,95,27,2
2599,326,25,2
3298,31,13,1
3229,238,25,1
2791,148,23,2
2843,29,12,2
2806,99,11,2
2724,75,15,2
3101,302,4,1
3181,233,10,1
2961,111,14,2
2680,328,9,2
3182,290,9,1
2691,359,14,1
3022,1,10,2
3047,123,16,2
3312,340,19,1
3007,198,14,2
3054,4,18,2
2796,0,11,2
3338,206,10,1
3263,279,18,2
2800,62,16,2
3135,30,14,1
3437,90,2,1
2968,127,7,2
3335,199,17,1
3205,18,10,1
3207,40,8,1
3103,94,10,2
3008,177,13,1
3214,67,19,1
2671,17,18,2
3117,53,2,1
2944,69,4,2
2884,25,5,2
2636,53,16,2
3041,180,6,1
2802,66,9,1
2605,44,16,2
2902,67,5,2
3310,319,5,2
3249,277,4,1
3568,45,24,1
3218,310,12,2
3035,341,11,2
2958,348,34,1
2857,60,11,1
2845,30,12,2
2857,342,18,2
3192,198,20,1
3217,22,13,1
2595,148,13,2
2858,30,25,2
2728,106,33,2
3010,99,17,1
2945,301,3,2
2939,132,17,2
2980,344,34,1
3027,76,12,1
3075,7,19,1
3230,54,7,2
3215,58,6,1
2384,330,25,2
2712,16,4,2
2985,277,12,2
3101,322,14,1
3173,131,10,2
2943,158,13,2
3226,224,19,2
2830,323,14,2
2998,60,11,2
3322,95,11,1
3029,2,8,2
2610,123,23,2
2986,256,23,2
3217,95,20,2
3091,204,21,2
3080,85,31,2
2916,305,21,2
3073,252,2,1
3126,108,25,1
3067,82,20,2
2960,79,1,2
3254,119,10,2
2865,43,12,1
2826,119,2,2
2676,137,12,2
3111,294,12,1
3252,96,5,1
2817,6,5,1
2634,140,12,2
3077,185,9,1
3224,153,2,2
2855,69,9,2
2747,104,4,1
3106,276,6,2
3298,233,9,1
2873,93,23,1
2807,127,2,2
3222,135,14,1
3234,335,19,1
2991,143,15,2
3198,134,13,2
3152,21,7,2
3204,27,4,1
3068,335,8,2
2918,344,8,2
3037,121,10,1
2742,13,13,2
3224,6,19,1
2734,135,7,2
2829,148,8,2
3233,154,17,1
3297,293,7,1
2977,291,8,1
2688,92,11,2
3228,173,13,2
2939,262,13,2
3027,38,8,1
2839,336,21,2
3040,295,5,2
2802,142,15,2
2934,41,4,1
2640,49,9,2
3196,20,10,1
2700,283,24,2
3299,0,14,1
2971,344,7,2
3322,11,14,1
2934,84,4,2
3065,149,7,1
2589,129,16,2
3239,351,6,1
3123,326,14,2
3059,330,13,1
2964,270,3,2
3048,272,11,2
3161,83,9,2
3049,89,16,1
3235,257,15,1
3253,30,13,1
2942,255,11,2
2643,272,36,2
3015,139,10,2
3351,248,9,1
3157,44,14,1
3031,259,19,1
3005,357,16,2
3120,3,21,2
2831,15,3,1
2886,114,6,2
2947,271,23,2
2695,350,19,2
3043,97,20,2
3273,342,2,1
3045,290,13,2
3064,82,11,2
3158,83,6,2
2952,151,17,2
3225,305,11,1
3136,29,12,2
3227,9,6,1
3128,5,22,1
2980,157,23,2
3237,84,6,1
3312,359,14,1
3019,207,7,2
3202,305,8,1
3145,154,15,1
2878,145,22,2
3116,63,1,2
2856,23,12,2
3017,313,10,1
2523,94,10,2
3155,9,15,1
2929,265,9,2
3346,344,22,1
2949,80,8,2
3194,98,15,2
2930,174,9,2
3161,117,7,1
3284,23,10,1
2804,108,20,2
3254,328,23,2
2994,345,14,2
3314,287,5,1
3224,299,17,1
2708,97,6,2
3253,69,14,1
2975,176,13,2
2892,72,19,2
3274,20,5,1
2957,349,11,2
2764,47,10,2
3145,221,22,2
3030,298,24,2
2995,297,10,2
3239,0,16,1
2994,75,13,1
2836,285,7,2
2766,273,9,1
3247,232,11,1
3016,103,14,1
2972,28,6,1
3079,84,14,1
2776,120,13,2
3037,293,17,2
3070,99,7,2
2916,122,21,2
2922,61,19,2
3090,302,16,1
3244,123,21,1
3238,352,7,1
2773,88,11,2
3302,5,16,2
3132,40,13,2
2610,63,17,2
2995,102,32,2
3215,208,10,1
3018,111,15,2
2822,343,11,2
2817,349,4,2
3140,276,29,1
3061,213,12,2
3005,8,9,2
2915,42,12,2
2620,8,11,2
3181,146,15,1
2987,36,4,2
2959,82,5,1
3340,356,13,1
3042,43,10,1
3415,45,10,1
3106,313,19,1
3194,317,17,1
3149,75,11,1
3289,168,10,2
3103,297,3,1
3092,36,10,1
3348,58,21,1
3226,103,14,1
3228,350,16,1
3195,44,35,1
3277,83,17,1
3007,278,18,2
3267,30,8,1
3032,90,5,2
2851,129,20,2
2807,150,9,2
2867,59,14,2
3000,229,32,2
2701,38,3,2
3047,203,7,2
2763,174,6,2
2954,11,21,2
3551,9,14,1
2781,7,11,2
3269,267,19,1
2938,336,3,2
3073,356,4,1
2925,239,28,2
3116,11,12,1
2939,60,13,2
2657,113,13,2
2995,324,13,2
2666,97,15,2
3260,12,7,2
3086,166,22,1
3039,352,32,2
2964,251,14,2
2919,327,25,2
3133,198,19,2
2959,258,10,2
2782,18,8,2
2923,308,11,1
2710,48,7,2
3150,74,9,1
2524,101,5,2
3172,90,7,1
3205,81,11,1
3014,320,4,2
3073,333,2,1
3298,282,15,1
2779,103,8,2
3010,199,19,2
2948,257,26,2
2502,350,10,2
3133,45,4,1
2814,65,4,1
3235,318,11,1
3248,70,16,1
2827,26,14,2
3126,262,11,1
3037,109,19,1
3050,187,11,2
2952,347,13,1
3145,126,8,2
3310,90,14,1
2961,31,19,1
3007,29,13,2
3316,66,10,2
3059,91,25,1
2900,50,4,2
2802,92,29,2
2936,73,10,2
3222,274,22,1
3355,245,16,1
2913,329,18,2
3164,268,13,1
2988,126,2,2
2488,22,10,2
2863,79,6,2
3386,214,12,1
3201,258,12,1
3120,259,2,1
2602,338,15,2
2970,115,12,2
2826,66,11,2
3032,257,11,2
3184,300,8,1
3263,136,35,1
3132,351,12,1
2504,293,17,2
2948,14,16,1
2551,133,9,2
2951,156,9,2
3373,321,26,1
3251,130,29,1
3252,33,16,1
2776,15,7,2
2841,22,28,2
3125,0,16,1
2991,51,15,2
3316,150,23,2
2837,104,4,2
2663,29,6,2
2944,54,13,2
2719,264,29,2
3237,6,13,2
3049,263,6,1
2991,353,6,2
2968,90,23,1
3018,114,9,1
2990,123,11,1
3231,153,22,1
3160,355,8,1
3021,135,8,2
2838,28,12,2
2866,18,1,2
3188,171,23,2
3253,296,15,2
2885,159,9,2
3158,307,5,1
3046,37,9,2
3243,301,24,1
